M/Z,EXPERIMENTAL_M/Z,INTENSITY,SAMPLE,FILE
1761.78747,1761.7867,22030.508,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p0078_ug_ul,81.csv
1761.78747,1761.783,9341.58,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0078_ug_ul,261.csv
1761.78747,1761.8,115069.44,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p125_ug_ul,21.csv
1761.78747,1761.7781,59612.85,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p25_ug_ul,86.csv
1761.78747,1761.784,23204.568,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0625_ug_ul,316.csv
1761.78747,1761.7986,67916.03,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0625_ug_ul,96.csv
1761.78747,1761.784,46489.387,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0312_ug_ul,51.csv
1761.78747,1761.7891,38449.496,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_BLANK_1_rerun,176.csv
1761.78747,1761.7831,65891.17,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p25_ug_ul,261.csv
1761.78747,1761.77,206830.06,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0078_ug_ul,226.csv
1761.78747,1761.797,304841.84,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_1_ug_ul,36.csv
1761.78747,1761.7832,273741.7,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_1_ug_ul,141.csv
1761.78747,1761.7891,152785.97,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_BLANK_2,131.csv
1761.78747,1761.772,113991.95,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p125_ug_ul,1.csv
1761.78747,1761.7871,190783.89,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p5_ug_ul,101.csv
1761.78747,1761.782,20273.215,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0078_ug_ul,161.csv
1761.78747,1761.7931,67433.5,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0156_ug_ul,71.csv
1761.78747,1761.7966,77685.93,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p0156_ug_ul,81.csv
1761.78747,1761.779,42139.91,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0156_ug_ul,266.csv
1761.78747,1761.7991,48568.67,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0156_ug_ul,176.csv
1761.78747,1761.796,128541.14,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0625_ug_ul,81.csv
1761.78747,1761.8014,276447.06,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p5_ug_ul,121.csv
1761.78747,1761.781,39391.06,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_1_ug_ul,221.csv
1761.78747,1761.799,36615.953,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0312_ug_ul,306.csv
1761.78747,1761.784,24179.604,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0078_ug_ul,176.csv
1761.78747,1761.774,43825.66,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0625_ug_ul,16.csv
1761.78747,1761.78,23463.924,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p5_ug_ul,76.csv
1761.78747,1761.791,427421.06,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p5_ug_ul,1.csv
1761.78747,1761.8036,240811.2,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_1_ug_ul,176.csv
1761.78747,1761.7979,214489.72,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p25_ug_ul,66.csv
1761.78747,1761.771,26146.914,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_BLANK_2,136.csv
1761.78747,1761.8041,179308.92,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p125_ug_ul,221.csv
1761.78747,1761.785,27252.158,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_2_p125_ug_ul,161.csv
1761.78747,1761.79,288554.22,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0156_ug_ul,176.csv
1761.78747,1761.781,256032.12,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_1_ug_ul,126.csv
1761.78747,1761.7828,84231.445,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p25_ug_ul_rerun,181.csv
1761.78747,1761.801,96334.43,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p125_ug_ul,211.csv
